"","ensembl_gene_id","external_gene_name","log2FoldChange.04h_RNA","log2FoldChange.08h_RNA","log2FoldChange.14h_RNA","padj.04h_RNA","padj.08h_RNA","padj.14h_RNA","cluster"
"74","ENSG00000152242","C18orf25",0.231685700889533,0.740289841473741,1.54131699523039,0.099778268769474,7.05400536859058e-12,6.88803392730677e-51,"3"
"75","ENSG00000187792","ZNF70",-0.340871518361728,-1.69092873131908,-2.31046452663419,0.210494448877706,1.12535176933611e-09,1.65945693959182e-12,"4"
"76","ENSG00000125772","GPCPD1",0.00665975528965562,-1.18647918361267,-1.67037823474562,0.987022826810999,2.74934537199309e-08,2.351858306661e-12,"4"
"77","ENSG00000125870","SNRPB2",0.261770009972518,1.0721092671837,1.93394280412716,0.0411445522489603,1.61396300771183e-26,2.05813067509143e-87,"3"
"78","ENSG00000101003","GINS1",-0.262307680400546,-1.79139513452191,-2.19773493306758,0.203860180965866,8.0850342900797e-22,6.98434817512451e-26,"4"
"79","ENSG00000159261","CLDN14",2.87019879343393,4.46100535881408,3.78200278036557,3.25935617799657e-06,1.12981120509829e-14,6.87692285666531e-11,"2"
"80","ENSG00000157542","KCNJ6",-0.0779885998946178,-2.43312957449815,-3.7809885140563,0.622775178099858,1.21030519364375e-136,2.73378348627888e-183,"5"
"81","ENSG00000101639","CEP192",0.241852610500898,0.497044912153792,1.35677767126429,0.0331073584456341,1.84998291651424e-07,2.19913762784002e-52,"3"
"82","ENSG00000120688","WBP4",0.0661158288827368,-0.0949765650193529,1.02405679705447,0.849297520916328,0.678353708253103,1.3323570951068e-10,"3"
"83","ENSG00000180440","SERTM1",0.0714817046355803,-0.015426681789382,5.51284428323411,0.568189242687137,0.938852662339147,0.000431390791647163,"2"
"84","ENSG00000182362","YBEY",-0.0448967266816517,-0.375445132980317,-1.67613358345251,0.928768594273042,0.237403462132302,3.05875656817786e-06,"4"
"85","ENSG00000139514","SLC7A1",-0.185077830878839,-2.02149215492091,-2.39622893796954,0.248862005269873,2.1751173853967e-52,1.63822591618652e-59,"5"
"86","ENSG00000157538","VPS26C",-0.424221525586521,-1.55820444086295,-1.41812951633282,0.00406938952028685,5.79572680965182e-26,1.06018083608596e-20,"4"
"87","ENSG00000132664","POLR3F",-0.125813236034985,0.54739413558603,1.43840597875345,0.701010721378625,0.00482488578571607,3.03508027709605e-16,"3"
"88","ENSG00000125834","STK35",-0.00679821549096846,1.11127414637029,1.76333323073607,0.981594858925099,2.47961572796321e-28,6.06929971494575e-72,"3"
"89","ENSG00000102471","NDFIP2",0.425407918174473,1.23372326907516,1.81614066469321,5.14288674590471e-05,7.3905528346646e-41,1.10045950387171e-89,"3"
"90","ENSG00000100100","PIK3IP1",0.0201711652621772,-2.17901888562773,-2.70121485076429,0.970282381084186,0.007514810385843,0.00728954852323431,"5"
"91","ENSG00000150907","FOXO1",0.607811477905398,1.73625585262527,2.43540744270983,0.000976352763164921,7.70933189744826e-28,1.75568933995892e-55,"3"
"92","ENSG00000198646","NCOA6",-0.267084107115123,-1.07869977346485,0.163915763451489,0.0873068043650918,2.71851317724233e-15,0.240708594574512,"4"
"93","ENSG00000136152","COG3",0.262386733275832,0.535306346895379,1.1557018830526,0.0876069420549055,2.04932347505085e-05,1.55026669274069e-22,"3"
"94","ENSG00000172361","CFAP53",0.109222213636593,0.0765095354828746,2.50598578537127,0.604040670585808,0.902944390359725,0.00491671182515484,"3"
"95","ENSG00000141425","RPRD1A",-0.115251021949393,-0.628922657438323,-1.40968452374225,0.59682139016553,1.83605211697776e-06,1.09323153955093e-22,"4"
"96","ENSG00000160310","PRMT2",-0.0479612150025907,-0.408836021922943,-1.5372837388078,0.851850410717137,0.000371897684387137,7.61523311908651e-35,"4"
"97","ENSG00000136141","LRCH1",0.200537794908257,-0.85138062611299,-1.15712818093404,0.460323033754293,0.000104532284698135,7.19770062464125e-07,"4"
"98","ENSG00000178726","THBD",-0.277765433282921,-3.31310353396733,-2.9118131953949,0.182626853873585,0.00587271080368122,0.00924362405031291,"5"
"99","ENSG00000172296","SPTLC3",-0.110425921554918,-1.2210624157727,-1.54476202354073,0.789382207123505,0.00127063315451112,0.00020221428407284,"4"
"100","ENSG00000139496","NUP58",-0.0129579519349299,0.518806179367629,1.10942495487341,0.962335441373516,1.35478021431626e-09,2.4530788041512e-41,"3"
